region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Le Québec,7692916,7761725,7843383,7929222,8005090,8061101,8110880,8150183,8175272,8225950,8298827
Bas-Saint-Laurent,201566,201294,201001,201101,201199,200763,200126,199155,198127,197802,197516
Saguenay-Lac-Saint-Jean,274163,274949,275404,276247,277298,277902,277898,277623,277222,277076,277098
Capitale-Nationale,675416,683667,692434,701562,710445,715386,720786,725382,729094,733847,738417
Mauricie,261656,262456,263446,264752,265562,265720,265833,266251,266240,267021,268363
Estrie,303056,305199,307776,310666,313397,314806,316253,317208,317894,320452,322593
Montréal,1872307,1876895,1893050,1904780,1913756,1926827,1939692,1949425,1950025,1959014,1983991
Outaouais,349301,354974,360985,367652,373718,376512,378540,380448,381942,385385,388246
Abitibi-Témiscamingue,145111,145408,145753,146039,146737,147399,147755,147734,147305,147293,147566
Côte-Nord,96063,95439,95335,95372,95751,95806,95729,95113,93940,92713,91822
Nord-du-Québec,40872,41353,41758,42490,43015,43447,43844,44095,44533,44720,45073
Gaspésie-Îles-de-la-Madeleine,94871,94534,94461,94583,94518,94037,93109,92208,91443,90740,90521
Chaudière-Appalaches,400402,403169,406723,410890,414407,416000,417199,418135,419809,422019,424144
Laval,377924,384812,391718,399366,405926,411052,415444,418726,421393,425461,429663
Lanaudière,444047,453123,461341,469636,476969,482925,487441,491007,493750,497298,502941
Laurentides,529315,538372,547731,558071,566661,572926,578032,583081,588192,594981,603127
Montérégie,1399296,1416404,1432732,1452023,1469481,1481857,1493973,1504034,1512767,1526762,1542227
Centre-du-Québec,227550,229677,231735,233992,236250,237736,239226,240558,241596,243366,245519
