region,2017,2018,Variation_2017_2018
Chaudière-Appalaches,3.5,3.3,-0.2
Abitibi-Témiscamingue,5.1,3.8,-1.3
Capitale-Nationale,4.7,4.1,-0.6
Montérégie,4.6,4.5,-0.1
Estrie,5.0,4.7,-0.3
Outaouais,5.6,4.9,-0.7
Côte-Nord et Nord-du-Québec,6.0,4.9,-1.1
Mauricie,6.0,5.1,-0.9
Laval,6.7,5.3,-1.4
Bas-Saint-Laurent,6.1,5.4,-0.7
Le Québec,6.1,5.5,-0.6
Centre-du-Québec,5.7,5.5,-0.2
Laurentides,6.2,5.6,-0.6
Lanaudière,5.6,5.8,0.2
Saguenay–Lac-Saint-Jean,6.9,6.1,-0.8
Montréal,8.2,7.2,-1.0
Gaspésie–Îles-de-la-Madeleine,11.7,12.9,1.2
