region,type_territoire,annee,population_totale,age_median,age_moyen,PIB_region,PIB_par_habitant,revenu_disponible_habitant,taux_activite,taux_chomage,taux_emploi
Bas-Saint-Laurent,Région administrative,2007,201 552,45,42.8,5858003,29064,18 766,59.3,8.9,54
Saguenay-Lac-Saint-Jean,Région administrative,2007,274 197,43.4,41.2,9170527,33445,19 668,62.2,9.2,56.5
Capitale-Nationale,Région administrative,2007,675 391,42.5,41.5,27462922,40662,22 117,65.9,5,62.6
Mauricie,Région administrative,2007,261 487,45.2,43.2,7733148,29574,19 347,59.4,9.2,54
Estrie,Région administrative,2007,302 812,41.7,40.6,9249467,30545,20 279,64.5,7.1,60
Montréal,Région administrative,2007,1 869 896,38.8,39.9,100421747,53704,22 968,65.2,8.6,59.6
Outaouais,Région administrative,2007,349 807,39.4,38.4,9923032,28367,21 331,68.6,6.7,64
Abitibi-Témiscamingue,Région administrative,2007,145 076,41,39.5,5713924,39386,20 332,63.8,9.3,57.8
Côte-Nord et Nord-du-Québec,Région administrative,2007,136 905,,36.6,7565120,55258,20423,60.1,8.8,54.8
Gaspésie-Îles-de-la-Madeleine,Région administrative,2007,95 000,46.3,43.9,2132126,22443,18 204,52.5,17.3,43.4
Chaudière-Appalaches,Région administrative,2007,400 712,41.7,40.4,12721676,31748,20 434,67,6,63
Laval,Région administrative,2007,378 873,40,39.4,11529983,30432,22 341,69.2,5.2,65.6
Lanaudière,Région administrative,2007,444 230,40.5,39,9759614,21970,21 054,66.8,7.1,62.1
Laurentides,Région administrative,2007,528 938,40.6,39.1,14808345,27996,22 448,68.5,7,63.7
Montérégie,Région administrative,2007,1 399 947,40.5,39.4,43056406,30756,22 737,67.2,6.1,63.1
Centre-du-Québec,Région administrative,2007,227 913,41.8,40.6,7372929,32350,19 521,67.4,7,62.6
Bas-Saint-Laurent,Région administrative,2008,201 254,45.7,43.2,5929374,29462,19 923,61.5,8.6,56.3
Saguenay-Lac-Saint-Jean,Région administrative,2008,274 827,43.9,41.6,9361353,34063,20 516,60.2,8.7,54.9
Capitale-Nationale,Région administrative,2008,683 729,42.7,41.7,28698295,41973,23 240,66,4.4,63.1
Mauricie,Région administrative,2008,262 665,45.7,43.5,8093688,30814,20 342,58.7,8.7,53.5
Estrie,Région administrative,2008,305 217,42.1,41,9387207,30756,21 220,63,5.9,59.3
Montréal,Région administrative,2008,1 873 181,38.9,40.1,102771459,54865,23 878,65.6,8.6,60
Outaouais,Région administrative,2008,355 284,39.5,38.7,10388456,29240,22 382,71.1,5.6,67.2
Abitibi-Témiscamingue,Région administrative,2008,145 460,41.4,39.8,5768015,39654,21 726,63.9,7.5,59.1
Côte-Nord et Nord-du-Québec,Région administrative,2008,136 817,,36.9,8032923,58713,29993,61,11,54.2
Gaspésie-Îles-de-la-Madeleine,Région administrative,2008,94 720,47,44.3,2271019,23976,19 298,54.5,17.5,45
Chaudière-Appalaches,Région administrative,2008,403 371,42.1,40.8,12805711,31747,21 488,66.1,5.1,62.7
Laval,Région administrative,2008,385 430,40.2,39.6,12051372,31267,23 487,69.2,6.7,64.6
Lanaudière,Région administrative,2008,453 410,40.6,39.2,10172639,22436,21 962,65.4,7.3,60.7
Laurentides,Région administrative,2008,539 250,40.9,39.4,15370930,28504,23 354,66.4,7.2,61.6
Montérégie,Région administrative,2008,1 417 137,40.7,39.6,43926475,30997,23 617,67.3,6.7,62.8
Centre-du-Québec,Région administrative,2008,229 752,42.3,41,7527848,32765,20 576,66.4,7.5,61.4
Bas-Saint-Laurent,Région administrative,2009,201 377,46.2,43.5,5888533,29241,20 519,60,9.2,54.5
Saguenay-Lac-Saint-Jean,Région administrative,2009,275 460,44.4,41.9,8674991,31493,21 272,59.9,9.9,53.9
Capitale-Nationale,Région administrative,2009,692 446,42.9,41.9,29526015,42640,24 257,65.5,5.4,61.9
Mauricie,Région administrative,2009,263 520,46.3,43.8,7873530,29878,20 863,57.2,9.8,51.6
Estrie,Région administrative,2009,307 753,42.5,41.3,9308108,30245,21 461,65.4,7.8,60.2
Montréal,Région administrative,2009,1 887 599,38.9,40.1,103082278,54610,23 894,64.6,11.3,57.3
Outaouais,Région administrative,2009,361 539,39.7,38.9,10820511,29929,23 457,68.8,6.4,64.4
Abitibi-Témiscamingue,Région administrative,2009,145 718,41.7,40,5862342,40231,22 189,62.5,9.7,56.3
Côte-Nord et Nord-du-Québec,Région administrative,2009,137 391,,37.2,7322910,53300,22104,59.1,10,53.2
Gaspésie-Îles-de-la-Madeleine,Région administrative,2009,94 662,47.6,44.7,2314492,24450,19 864,51.9,16.2,43.5
Chaudière-Appalaches,Région administrative,2009,406 774,42.5,41.1,13072548,32137,22 115,66.7,6.1,62.7
Laval,Région administrative,2009,392 608,40.3,39.7,12020701,30618,23 552,66.8,7.2,61.9
Lanaudière,Région administrative,2009,461 911,40.8,39.5,10240724,22170,22 457,68,8.5,62.3
Laurentides,Région administrative,2009,548 333,41.1,39.7,15312994,27926,23 808,67,8.1,61.6
Montérégie,Région administrative,2009,1 434 412,40.9,39.9,43624448,30413,24 063,67.4,7.7,62.2
Centre-du-Québec,Région administrative,2009,231 972,42.7,41.3,7574224,32651,20 716,65.1,7.3,60.3
Bas-Saint-Laurent,Région administrative,2010,201 322,46.8,43.9,6043336,30018,21 074,59.2,10,53.3
Saguenay-Lac-Saint-Jean,Région administrative,2010,276 248,44.9,42.3,9214709,33357,22 075,58.4,8.2,53.6
Capitale-Nationale,Région administrative,2010,701 803,42.9,42.1,30602895,43606,24 716,66.4,5.2,62.9
Mauricie,Région administrative,2010,264 873,46.7,44.1,7958225,30045,21 379,57.5,9.2,52.2
Estrie,Région administrative,2010,310 581,42.8,41.6,9601429,30914,22 065,62,8,57
Montréal,Région administrative,2010,1 902 049,38.8,40.2,105900413,55677,24 353,65.4,9.6,59.1
Outaouais,Région administrative,2010,367 864,39.8,39.1,10978914,29845,23 757,68,7,63.3
Abitibi-Témiscamingue,Région administrative,2010,146 204,41.9,40.3,6598444,45132,23 402,63.4,8.3,58.2
Côte-Nord et Nord-du-Québec,Région administrative,2010,138 048,,37.4,9245406,66972,23144,63.8,7.2,59.3
Gaspésie-Îles-de-la-Madeleine,Région administrative,2010,94 670,48.3,45.2,2514185,26557,20 513,54.2,14.7,46.2
Chaudière-Appalaches,Région administrative,2010,410 700,42.8,41.4,13334015,32467,22 659,68.4,5.4,64.7
Laval,Région administrative,2010,399 559,40.4,39.9,12475456,31223,24 002,67.2,7.9,61.8
Lanaudière,Région administrative,2010,469 846,40.9,39.7,10857687,23109,23 090,66.8,7.4,61.9
Laurentides,Région administrative,2010,558 311,41.4,40,16416704,29404,24 456,67.8,8.4,62.1
Montérégie,Région administrative,2010,1 453 178,41.1,40.1,46036917,31680,24 761,67.4,7.8,62.2
Centre-du-Québec,Région administrative,2010,234 109,43,41.6,7705929,32916,21 451,60.8,6.7,56.7
Bas-Saint-Laurent,Région administrative,2011,201 184,47.4,44.3,6275487,31193,21 604,58.7,8.5,53.7
Saguenay-Lac-Saint-Jean,Région administrative,2011,277 249,45.3,42.6,10179816,36717,22 808,58.3,8.4,53.4
Capitale-Nationale,Région administrative,2011,710 861,42.9,42.2,31796259,44729,25 325,67.4,5.8,63.5
Mauricie,Région administrative,2011,265 557,47.2,44.4,8120378,30579,21 956,58.3,8.2,53.5
Estrie,Région administrative,2011,313 582,43,41.9,9961424,31767,22 609,63.9,6.9,59.5
Montréal,Région administrative,2011,1 915 617,38.7,40.2,110988946,57939,25 222,64.1,9.8,57.8
Outaouais,Région administrative,2011,373 905,39.9,39.3,11335587,30317,24 022,68.2,7.9,62.8
